name,year,genre,publisher
Black Prism,2010,Fantasy,Orbit
Blinding Knife,2012,Fantasy,Orbit
Broken Eye,2014,Fantasy,Orbit
Blood Mirror,2016,Fantasy,Orbit
Burning White,2019,Fantasy,Orbit
